chr22:11027996-11028006	chr22	11027996	11028006
chr22:11683500-11683510	chr22	11683500	11683510
chr22:11685794-11685804	chr22	11685794	11685804
chr22:11687708-11687718	chr22	11687708	11687718
chr22:11687948-11687958	chr22	11687948	11687958
chr22:11938238-11938248	chr22	11938238	11938248
chr22:12356521-12356531	chr22	12356521	12356531
chr22:12435578-12435588	chr22	12435578	12435588
chr22:13249416-13249426	chr22	13249416	13249426
chr22:13980914-13980924	chr22	13980914	13980924
chr22:14421581-14421591	chr22	14421581	14421591
chr22:17480272-17480282	chr22	17480272	17480282
chr22:17842749-17842759	chr22	17842749	17842759
chr22:18114116-18114126	chr22	18114116	18114126
chr22:18114125-18114135	chr22	18114125	18114135
chr22:19121704-19121714	chr22	19121704	19121714
chr22:19432799-19432809	chr22	19432799	19432809
chr22:19853169-19853179	chr22	19853169	19853179
chr22:20111689-20111699	chr22	20111689	20111699
chr22:20123126-20123136	chr22	20123126	20123136
chr22:21321918-21321928	chr22	21321918	21321928
chr22:21418037-21418047	chr22	21418037	21418047
chr22:21570086-21570096	chr22	21570086	21570096
chr22:21641845-21641855	chr22	21641845	21641855
chr22:21643423-21643433	chr22	21643423	21643433
chr22:22098977-22098987	chr22	22098977	22098987
chr22:22604573-22604583	chr22	22604573	22604583
chr22:22850131-22850141	chr22	22850131	22850141
chr22:22856169-22856179	chr22	22856169	22856179
chr22:23012452-23012462	chr22	23012452	23012462
chr22:23806184-23806194	chr22	23806184	23806194
chr22:24275197-24275207	chr22	24275197	24275207
chr22:24553617-24553627	chr22	24553617	24553627
chr22:25421761-25421771	chr22	25421761	25421771
chr22:25587623-25587633	chr22	25587623	25587633
chr22:25834736-25834746	chr22	25834736	25834746
chr22:25841917-25841927	chr22	25841917	25841927
chr22:26592644-26592654	chr22	26592644	26592654
chr22:29269929-29269939	chr22	29269929	29269939
chr22:29301477-29301487	chr22	29301477	29301487
chr22:30706592-30706602	chr22	30706592	30706602
chr22:31753725-31753735	chr22	31753725	31753735
chr22:31792275-31792285	chr22	31792275	31792285
chr22:33470355-33470365	chr22	33470355	33470365
chr22:35008300-35008310	chr22	35008300	35008310
chr22:35009202-35009212	chr22	35009202	35009212
chr22:35227448-35227458	chr22	35227448	35227458
chr22:36435519-36435529	chr22	36435519	36435529
chr22:37496873-37496883	chr22	37496873	37496883
chr22:37545330-37545340	chr22	37545330	37545340
chr22:37697296-37697306	chr22	37697296	37697306
